Country,State,Year,Road Environment,Rank Of Persons Killed,Rank Of Total Accidents,"Number Of Persons Greviously Injured (UOM:Number), Scaling Factor:1","Number Of Persons Killed (UOM:Number), Scaling Factor:1","Number Of Persons With Minor Injury (UOM:Number), Scaling Factor:1","Total Accidents (UOM:Number), Scaling Factor:1","Total Number Of Persons Injured (UOM:Number), Scaling Factor:1"
India,Karnataka,"Calendar Year (Jan - Dec), 2019",Open Area,2,2,17548,8030,15601,26639,33149
India,Karnataka,"Calendar Year (Jan - Dec), 2019",Others,,,94,25,93,146,187
India,Karnataka,"Calendar Year (Jan - Dec), 2019",Residential Area,,,3636,1148,2795,5251,6431
India,Kerala,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,1356,169,577,1731,1933
India,Kerala,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,2739,351,1244,3692,3983
India,Kerala,"Calendar Year (Jan - Dec), 2019",Open Area,18,11,5212,817,2271,6539,7483
India,Kerala,"Calendar Year (Jan - Dec), 2019",Others,,,20487,2742,8398,25776,28885
India,Kerala,"Calendar Year (Jan - Dec), 2019",Residential Area,,,2776,361,995,3373,3771
India,Ladakh,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,4.48399368994812755950,0.50308221887222894570,2.44979167450824530080,5.38079242793775307140,6.93378536445637286030
India,Ladakh,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,9.27421133920978578160,1.81547061593021749970,7.91807666224986427580,15.00497400636300246740,17.19228800145965005740
India,Ladakh,"Calendar Year (Jan - Dec), 2019",Open Area,22,17,52.38617018256470978050,10.80533113577743909460,28.01949227718805562790,57.89820145020826170730,80.40566245975276540840
India,Ladakh,"Calendar Year (Jan - Dec), 2019",Others,,,19.88268421542852659310,5.09644160857518888470,13.84569758896177924470,28.12885797694288800740,33.72838180439030583780
India,Ladakh,"Calendar Year (Jan - Dec), 2019",Residential Area,,,6.36508372573124448690,3.56532181200753557170,20.12328875488915782800,20.36389329434978906290,26.48837248062040231490
India,Lakshadweep,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,0,0,0,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,0,0,0,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2019",Open Area,36,36,0,0,0,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2019",Others,,,0,0,0,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2019",Residential Area,,,1,0,0,1,1
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,365,511,2164,2605,2529
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,918,966,5712,7002,6630
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2019",Open Area,5,3,3138,5646,19347,20272,22485
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2019",Others,,,1050,2063,9331,10399,10381
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2019",Residential Area,,,1840,2063,8951,10391,10791
India,Maharashtra,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,1578,1058,645,2763,2223
India,Maharashtra,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,2023,1189,990,3393,3013
India,Maharashtra,"Calendar Year (Jan - Dec), 2019",Open Area,4,4,8792,6831,4884,15339,13676
India,Maharashtra,"Calendar Year (Jan - Dec), 2019",Others,,,4,5,2,10,6
India,Maharashtra,"Calendar Year (Jan - Dec), 2019",Residential Area,,,6755,3705,2955,11420,9710
India,Manipur,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,6,7,101,77,107
India,Manipur,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,21,21,158,115,179
India,Manipur,"Calendar Year (Jan - Dec), 2019",Open Area,26,26,161,61,175,208,336
India,Manipur,"Calendar Year (Jan - Dec), 2019",Others,,,22,1,0,13,22
India,Manipur,"Calendar Year (Jan - Dec), 2019",Residential Area,,,74,66,337,259,411
India,Meghalaya,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,7,5,1,22,8
India,Meghalaya,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,19,23,19,68,38
India,Meghalaya,"Calendar Year (Jan - Dec), 2019",Open Area,27,28,28,49,43,118,71
India,Meghalaya,"Calendar Year (Jan - Dec), 2019",Others,,,18,61,7,90,25
India,Meghalaya,"Calendar Year (Jan - Dec), 2019",Residential Area,,,45,41,35,184,80
India,Mizoram,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,0,1,0,2,0
India,Mizoram,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,0,5,1,6,1
India,Mizoram,"Calendar Year (Jan - Dec), 2019",Open Area,31,32,5,22,27,25,32
India,Mizoram,"Calendar Year (Jan - Dec), 2019",Others,,,1,3,9,3,10
India,Mizoram,"Calendar Year (Jan - Dec), 2019",Residential Area,,,5,17,8,26,13
India,Nagaland,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,7,0,12,26,19
India,Nagaland,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,25,5,44,129,69
India,Nagaland,"Calendar Year (Jan - Dec), 2019",Open Area,32,29,33,14,38,105,71
India,Nagaland,"Calendar Year (Jan - Dec), 2019",Others,,,5,1,18,3,23
India,Nagaland,"Calendar Year (Jan - Dec), 2019",Residential Area,,,20,6,44,95,64
India,Odisha,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,371,186,333,521,704
India,Odisha,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,998,666,738,1641,1736
India,Odisha,"Calendar Year (Jan - Dec), 2019",Open Area,12,12,3111,2929,2392,5631,5503
India,Odisha,"Calendar Year (Jan - Dec), 2019",Others,,,971,822,649,1677,1620
India,Odisha,"Calendar Year (Jan - Dec), 2019",Residential Area,,,864,730,750,1594,1614
India,Puducherry,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,113,20,145,226,258
India,Puducherry,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,102,29,142,246,244
India,Puducherry,"Calendar Year (Jan - Dec), 2019",Open Area,29,24,111,41,219,234,330
India,Puducherry,"Calendar Year (Jan - Dec), 2019",Others,,,144,27,292,390,436
India,Puducherry,"Calendar Year (Jan - Dec), 2019",Residential Area,,,154,30,197,296,351
India,Punjab,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,489,565,159,1483,648
India,Punjab,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,589,389,201,1128,790
India,Punjab,"Calendar Year (Jan - Dec), 2019",Open Area,15,19,1021,2042,557,2252,1578
India,Punjab,"Calendar Year (Jan - Dec), 2019",Others,,,25,624,9,226,34
India,Punjab,"Calendar Year (Jan - Dec), 2019",Residential Area,,,531,905,231,1259,762
India,Rajasthan,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,256,234,544,833,800
India,Rajasthan,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,626,561,1434,2089,2060
India,Rajasthan,"Calendar Year (Jan - Dec), 2019",Open Area,3,5,4251,7731,11036,15316,15287
India,Rajasthan,"Calendar Year (Jan - Dec), 2019",Others,,,506,681,914,1594,1420
India,Rajasthan,"Calendar Year (Jan - Dec), 2019",Residential Area,,,1062,1356,2350,3648,3412
India,Sikkim,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,6,4,4,12,10
India,Sikkim,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,11,2,9,9,20
India,Sikkim,"Calendar Year (Jan - Dec), 2019",Open Area,30,31,32,29,105,58,137
India,Sikkim,"Calendar Year (Jan - Dec), 2019",Others,,,43,25,22,46,65
India,Sikkim,"Calendar Year (Jan - Dec), 2019",Residential Area,,,42,13,44,37,86
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,631,948,5009,5118,5640
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,1105,1604,9345,9507,10450
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2019",Open Area,6,1,1697,5361,34343,29010,36040
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2019",Others,,,325,544,2304,2572,2629
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2019",Residential Area,,,1118,2068,11260,11021,12378
India,Telangana,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,64,269,734,812,798
India,Telangana,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,401,893,4501,5202,4902
India,Telangana,"Calendar Year (Jan - Dec), 2019",Open Area,10,9,1554,3681,7687,8655,9241
India,Telangana,"Calendar Year (Jan - Dec), 2019",Others,,,495,1082,3162,3378,3657
India,Telangana,"Calendar Year (Jan - Dec), 2019",Residential Area,,,364,1039,3037,3523,3401
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,9.00000000000000000000,7.00000000000000000000,4.00000000000000000000,11.00000000000000000000,13.00000000000000000000
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,37.00000000000000000000,28.00000000000000000000,13.00000000000000000000,44.00000000000000000000,50.00000000000000000000
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2019",Open Area,33,34,8.00000000000000000000,6.00000000000000000000,4.00000000000000000000,17.00000000000000000000,12.00000000000000000000
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2019",Open Area,34,35,5.00000000000000000000,2.00000000000000000000,0.00000000000000000000,2.00000000000000000000,5.00000000000000000000
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2019",Others,,,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2019",Residential Area,,,79.00000000000000000000,34.00000000000000000000,20.00000000000000000000,63.00000000000000000000,99.00000000000000000000
India,Tripura,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,123,28,2,101,125
India,Tripura,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,140,37,1,118,141
India,Tripura,"Calendar Year (Jan - Dec), 2019",Open Area,25,27,217,64,1,135,218
India,Tripura,"Calendar Year (Jan - Dec), 2019",Others,,,0,0,0,0,0
India,Tripura,"Calendar Year (Jan - Dec), 2019",Residential Area,,,327,110,5,301,332
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,2243,2466,1418,5168,3661
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,3115,3515,1917,7084,5032
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2019",Open Area,1,6,6739,8807,3250,15289,9989
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2019",Others,,,3175,4187,1815,7550,4990
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2019",Residential Area,,,3231,3680,2029,7481,5260
India,Uttarakhand,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,46,36,6,62,52
India,Uttarakhand,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,273,188,77,377,350
India,Uttarakhand,"Calendar Year (Jan - Dec), 2019",Open Area,21,23,639,495,136,637,775
India,Uttarakhand,"Calendar Year (Jan - Dec), 2019",Others,,,18,16,3,17,21
India,Uttarakhand,"Calendar Year (Jan - Dec), 2019",Residential Area,,,220,132,39,259,259
India,West Bengal,"Calendar Year (Jan - Dec), 2019",Institutional Area,,,239,179,32,284,271
India,West Bengal,"Calendar Year (Jan - Dec), 2019",Market/ Commercial Area,,,1146,762,187,1551,1333
India,West Bengal,"Calendar Year (Jan - Dec), 2019",Open Area,13,15,3251,2161,601,3671,3852
India,West Bengal,"Calendar Year (Jan - Dec), 2019",Others,,,1478,905,251,1808,1729
India,West Bengal,"Calendar Year (Jan - Dec), 2019",Residential Area,,,2271,1493,301,2844,2572
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,15,2,25,34,40
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,19,7,71,89,90
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2018",Open Area,34,32,10,2,32,46,42
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2018",Others,,,1,0,1,2,2
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2018",Residential Area,,,14,8,72,83,86
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,403,274,701,1134,1104
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,855,848,1888,3190,2743
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2018",Open Area,9,7,2667,4223,9690,12731,12357
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2018",Others,,,1293,1057,2228,3614,3521
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2018",Residential Area,,,1249,1154,2482,3806,3731
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,34,32,16,52,50
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,39,34,19,51,58
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2018",Open Area,30,31,64,46,29,66,93
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2018",Others,,,48,42,24,71,72
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2018",Residential Area,,,36,21,14,37,50
India,Assam,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,468,223,123,709,591
India,Assam,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,1239,568,284,1819,1523
India,Assam,"Calendar Year (Jan - Dec), 2018",Open Area,17,16,2483,1163,594,3180,3077
India,Assam,"Calendar Year (Jan - Dec), 2018",Others,,,951,603,204,1379,1155
India,Assam,"Calendar Year (Jan - Dec), 2018",Residential Area,,,823,409,206,1161,1029
India,Bihar,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,353,312,93,478,446
India,Bihar,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,773,854,292,1410,1065
India,Bihar,"Calendar Year (Jan - Dec), 2018",Open Area,8,12,3143,4360,667,5892,3810
India,Bihar,"Calendar Year (Jan - Dec), 2018",Others,,,0,0,0,0,0
India,Bihar,"Calendar Year (Jan - Dec), 2018",Residential Area,,,1037,1203,321,1820,1358
India,Chandigarh,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,0,2,16,11,16
India,Chandigarh,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,1,9,33,39,34
India,Chandigarh,"Calendar Year (Jan - Dec), 2018",Open Area,24,25,17,78,201,237,218
India,Chandigarh,"Calendar Year (Jan - Dec), 2018",Others,,,0,0,0,0,0
India,Chandigarh,"Calendar Year (Jan - Dec), 2018",Residential Area,,,3,9,29,29,32
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,76,223,481,879,557
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,167,302,766,1270,933
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2018",Open Area,11,11,1224,2526,5157,6837,6381
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2018",Others,,,383,577,1633,1687,2016
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2018",Residential Area,,,647,964,2181,3191,2828
India,Delhi,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,46,70,198,253,244
India,Delhi,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,122,178,635,769,757
India,Delhi,"Calendar Year (Jan - Dec), 2018",Open Area,18,17,491,876,2183,2973,2674
India,Delhi,"Calendar Year (Jan - Dec), 2018",Others,,,297,390,1177,1608,1474
India,Delhi,"Calendar Year (Jan - Dec), 2018",Residential Area,,,164,176,773,912,937
India,Goa,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,3,2,6,35,9
India,Goa,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,105,84,309,1103,414
India,Goa,"Calendar Year (Jan - Dec), 2018",Open Area,23,19,179,124,715,2265,894
India,Goa,"Calendar Year (Jan - Dec), 2018",Others,,,0,0,0,0,0
India,Goa,"Calendar Year (Jan - Dec), 2018",Residential Area,,,59,52,173,306,232
India,Gujarat,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,578,333,496,1047,1074
India,Gujarat,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,1215,749,1134,2483,2349
India,Gujarat,"Calendar Year (Jan - Dec), 2018",Open Area,6,8,5734,5459,4506,11085,10240
India,Gujarat,"Calendar Year (Jan - Dec), 2018",Others,,,38,24,14,56,52
India,Gujarat,"Calendar Year (Jan - Dec), 2018",Residential Area,,,2047,1431,1705,4098,3752
India,Haryana,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,200,524,884,1213,1084
India,Haryana,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,302,761,1106,1630,1408
India,Haryana,"Calendar Year (Jan - Dec), 2018",Open Area,15,15,924,1990,2693,4307,3617
India,Haryana,"Calendar Year (Jan - Dec), 2018",Others,,,356,1010,1882,2196,2238
India,Haryana,"Calendar Year (Jan - Dec), 2018",Residential Area,,,337,833,1336,1892,1673
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,110,59,215,230,325
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,297,168,598,622,895
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2018",Open Area,20,22,776,778,2405,1647,3181
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2018",Others,,,13,10,30,24,43
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2018",Residential Area,,,237,193,870,587,1107
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,207.36289433039510710920,21.51879092107873753020,66.51262648333427963880,211.27540177059124120560,273.87552081372938674800
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,340.38814729706366638680,139.87214098701179394630,582.96360858922398036360,775.65460001888358461130,923.35175588628764675040
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2018",Open Area,22,20,2186.11353220958992636350,368.75382623848563858570,948.78305424756251837700,2170.46350244880538997790,3134.89658645715244474050
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2018",Others,,,1100.39271755516271461250,273.87552081372938674800,1033.88009107182843497370,1704.87511706546543250630,2134.27280862699114958620
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2018",Residential Area,,,243.55358815220934750090,158.45655132794343090420,963.45495714829802123850,984.97374806937675876870,1207.00854530050736873940
India,Jharkhand,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,217,230,69,397,286
India,Jharkhand,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,539,546,122,895,661
India,Jharkhand,"Calendar Year (Jan - Dec), 2018",Open Area,16,21,1205,1443,323,2060,1528
India,Jharkhand,"Calendar Year (Jan - Dec), 2018",Others,,,567,655,142,1035,709
India,Jharkhand,"Calendar Year (Jan - Dec), 2018",Residential Area,,,640,668,151,1007,791
India,Karnataka,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,997,327,1599,1986,2596
India,Karnataka,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,2485,884,2877,4487,5362
India,Karnataka,"Calendar Year (Jan - Dec), 2018",Open Area,1,1,17506,9624,25339,34476,42845
India,Karnataka,"Calendar Year (Jan - Dec), 2018",Others,,,69,27,194,144,263
India,Karnataka,"Calendar Year (Jan - Dec), 2018",Residential Area,,,220,128,276,614,496
India,Kerala,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,1315,186,612,1656,1927
India,Kerala,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,2888,345,1295,3763,4183
India,Kerala,"Calendar Year (Jan - Dec), 2018",Open Area,19,10,5348,784,2547,6918,7895
India,Kerala,"Calendar Year (Jan - Dec), 2018",Others,,,19606,2707,8275,24708,27881
India,Kerala,"Calendar Year (Jan - Dec), 2018",Residential Area,,,2515,281,1057,3136,3572
India,Ladakh,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,4.63710566960489289080,0.48120907892126246980,1.48737351666572036120,4.72459822940875879440,6.12447918627061325200
India,Ladakh,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,7.61185270293633361320,3.12785901298820605370,13.03639141077601963640,17.34539998111641538870,20.64824411371235324960
India,Ladakh,"Calendar Year (Jan - Dec), 2018",Open Area,22,20,48.88646779041007363650,8.24617376151436141430,21.21694575243748162300,48.53649755119461002210,70.10341354284755525950
India,Ladakh,"Calendar Year (Jan - Dec), 2018",Others,,,24.60728244483728538750,6.12447918627061325200,23.11990892817156502630,38.12488293453456749370,47.72719137300885041380
India,Ladakh,"Calendar Year (Jan - Dec), 2018",Residential Area,,,5.44641184779065249910,3.54344867205656909580,21.54504285170197876150,22.02625193062324123130,26.99145469949263126060
India,Lakshadweep,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,0,0,0,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,0,0,0,0,0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2018",Open Area,35,35,1,1,0,1,1
India,Lakshadweep,"Calendar Year (Jan - Dec), 2018",Others,,,2,0,0,2,2
India,Lakshadweep,"Calendar Year (Jan - Dec), 2018",Residential Area,,,0,0,0,0,0
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,272,357,1806,2436,2078
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,738,779,5320,6185,6058
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2018",Open Area,7,3,2719,5363,21655,20767,24374
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2018",Others,,,1155,2107,8997,10402,10152
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2018",Residential Area,,,1206,2100,10794,11607,12000
India,Maharashtra,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,2158,1032,1011,3389,3169
India,Maharashtra,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,3098,1643,1752,5250,4850
India,Maharashtra,"Calendar Year (Jan - Dec), 2018",Open Area,3,4,9926,7480,5395,17826,15321
India,Maharashtra,"Calendar Year (Jan - Dec), 2018",Others,,,4,2,10,16,14
India,Maharashtra,"Calendar Year (Jan - Dec), 2018",Residential Area,,,5149,3104,2862,9236,8011
India,Manipur,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,10,6,72,48,82
India,Manipur,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,37,14,146,101,183
India,Manipur,"Calendar Year (Jan - Dec), 2018",Open Area,25,26,142,72,220,225,362
India,Manipur,"Calendar Year (Jan - Dec), 2018",Others,,,31,6,38,32,69
India,Manipur,"Calendar Year (Jan - Dec), 2018",Residential Area,,,82,36,264,195,346
India,Meghalaya,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,4,6,1,12,5
India,Meghalaya,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,4,15,6,28,10
India,Meghalaya,"Calendar Year (Jan - Dec), 2018",Open Area,29,30,11,49,16,77,27
India,Meghalaya,"Calendar Year (Jan - Dec), 2018",Others,,,65,63,59,185,124
India,Meghalaya,"Calendar Year (Jan - Dec), 2018",Residential Area,,,28,49,11,97,39
India,Mizoram,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,0,0,1,1,1
India,Mizoram,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,0,2,2,2,2
India,Mizoram,"Calendar Year (Jan - Dec), 2018",Open Area,32,33,24,21,33,23,57
India,Mizoram,"Calendar Year (Jan - Dec), 2018",Others,,,0,1,0,1,0
India,Mizoram,"Calendar Year (Jan - Dec), 2018",Residential Area,,,6,21,14,26,20
India,Nagaland,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,11,0,12,30,23
India,Nagaland,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,54,9,61,186,115
India,Nagaland,"Calendar Year (Jan - Dec), 2018",Open Area,31,27,65,25,78,148,143
India,Nagaland,"Calendar Year (Jan - Dec), 2018",Others,,,0,2,0,2,0
India,Nagaland,"Calendar Year (Jan - Dec), 2018",Residential Area,,,14,3,40,64,54
India,Odisha,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,495,285,423,775,918
India,Odisha,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,984,827,739,1837,1723
India,Odisha,"Calendar Year (Jan - Dec), 2018",Open Area,12,14,2699,2496,2558,4920,5257
India,Odisha,"Calendar Year (Jan - Dec), 2018",Others,,,976,855,942,1834,1918
India,Odisha,"Calendar Year (Jan - Dec), 2018",Residential Area,,,1068,852,910,1896,1978
India,Puducherry,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,80,33,183,237,263
India,Puducherry,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,143,47,248,356,391
India,Puducherry,"Calendar Year (Jan - Dec), 2018",Open Area,26,24,156,69,353,461,509
India,Puducherry,"Calendar Year (Jan - Dec), 2018",Others,,,153,40,97,268,250
India,Puducherry,"Calendar Year (Jan - Dec), 2018",Residential Area,,,119,37,195,275,314
India,Punjab,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,171,322,130,457,301
India,Punjab,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,326,576,186,838,512
India,Punjab,"Calendar Year (Jan - Dec), 2018",Open Area,13,18,826,2322,430,2918,1256
India,Punjab,"Calendar Year (Jan - Dec), 2018",Others,,,233,406,96,559,329
India,Punjab,"Calendar Year (Jan - Dec), 2018",Residential Area,,,636,1114,350,1656,986
India,Rajasthan,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,423,423,623,1020,1046
India,Rajasthan,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,729,819,1674,2412,2403
India,Rajasthan,"Calendar Year (Jan - Dec), 2018",Open Area,4,6,3906,6996,9108,13108,13014
India,Rajasthan,"Calendar Year (Jan - Dec), 2018",Others,,,541,849,1169,1883,1710
India,Rajasthan,"Calendar Year (Jan - Dec), 2018",Residential Area,,,1118,1233,2256,3320,3374
India,Sikkim,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,31,13,62,36,93
India,Sikkim,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,42,11,31,20,73
India,Sikkim,"Calendar Year (Jan - Dec), 2018",Open Area,28,29,109,53,64,107,173
India,Sikkim,"Calendar Year (Jan - Dec), 2018",Others,,,0,0,0,0,0
India,Sikkim,"Calendar Year (Jan - Dec), 2018",Residential Area,,,14,8,17,17,31
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,571,890,4399,4288,4970
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,1291,1871,8783,9233,10074
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Open Area,5,2,2549,6636,38254,34223,40803
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Others,,,323,614,3624,3920,3947
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",Residential Area,,,1265,2205,13478,12256,14743
India,Telangana,"Calendar Year (Jan - Dec), 2018",Institutional Area,,,81,262,793,789,874
India,Telangana,"Calendar Year (Jan - Dec), 2018",Market/ Commercial Area,,,363,700,3056,3619,3419
