Country,State,Year,Road Environment,Rank Of Persons Killed,Rank Of Total Accidents,"Number Of Persons Greviously Injured (UOM:Number), Scaling Factor:1","Number Of Persons Killed (UOM:Number), Scaling Factor:1","Number Of Persons With Minor Injury (UOM:Number), Scaling Factor:1","Total Accidents (UOM:Number), Scaling Factor:1","Total Number Of Persons Injured (UOM:Number), Scaling Factor:1"
India,Manipur,"Calendar Year (Jan - Dec), 2023",Open Area,,,61,23,84,101,145
India,Manipur,"Calendar Year (Jan - Dec), 2023",Others,,,2,2,0,3,2
India,Manipur,"Calendar Year (Jan - Dec), 2023",Residential Area,,,78,25,179,149,257
India,Meghalaya,"Calendar Year (Jan - Dec), 2023",Institutional Area,,,4,9,3,12,7
India,Meghalaya,"Calendar Year (Jan - Dec), 2023",Market/ Commercial Area,,,10,15,9,24,19
India,Meghalaya,"Calendar Year (Jan - Dec), 2023",Open Area,,,44,53,38,71,82
India,Meghalaya,"Calendar Year (Jan - Dec), 2023",Others,,,9,21,3,20,12
India,Meghalaya,"Calendar Year (Jan - Dec), 2023",Residential Area,,,114,70,25,96,139
India,Mizoram,"Calendar Year (Jan - Dec), 2023",Institutional Area,,,0,0,0,0,0
India,Mizoram,"Calendar Year (Jan - Dec), 2023",Market/ Commercial Area,,,3,10,3,12,6
India,Mizoram,"Calendar Year (Jan - Dec), 2023",Open Area,,,25,51,59,50,84
India,Mizoram,"Calendar Year (Jan - Dec), 2023",Others,,,0,5,0,5,0
India,Mizoram,"Calendar Year (Jan - Dec), 2023",Residential Area,,,12,30,14,39,26
India,Nagaland,"Calendar Year (Jan - Dec), 2023",Institutional Area,,,7,5,12,25,19
India,Nagaland,"Calendar Year (Jan - Dec), 2023",Market/ Commercial Area,,,39,27,58,143,97
India,Nagaland,"Calendar Year (Jan - Dec), 2023",Open Area,,,50,38,31,63,81
India,Nagaland,"Calendar Year (Jan - Dec), 2023",Others,,,0,8,0,1,0
India,Nagaland,"Calendar Year (Jan - Dec), 2023",Residential Area,,,18,8,42,71,60
India,Odisha,"Calendar Year (Jan - Dec), 2023",Institutional Area,,,522,354,253,818,775
India,Odisha,"Calendar Year (Jan - Dec), 2023",Market/ Commercial Area,,,1136,847,746,2090,1882
